GemsFDTD,5474971
omnetpp,8810178
soplex,1322151
mcf,
lbm,381509
libquantum,594053
milc,3147795
leslie3d,471408
sphinx3,1010365
astar,3140947
wrf,5520
h264ref,10297
sjeng,927526
cactusADM,131730
zeusmp,38574
bwaves,515939
gcc,15695
bzip2,25973
xalancbmk,14778
bfs.road,
bfs.web,244139
bfs.kron,304007
bfs.urand,
bfs.twitter,359026
bc.road,
bc.web,914036
bc.kron,
bc.urand,
bc.twitter,
pr.road,432775
pr.web,402060
pr.kron,
pr.urand,
pr.twitter,541380
