,numPCHs1,metadata_predictor0,metacache_rownum1024,metacache_rownum2048,metacache_rownum4096,metacache_rownum8192,ropr_entry_num8192,ropr_entry_num16384,ropr_entry_num32768,ropr_entry_num65536,ropr_col_num1,ropr_col_num2,ropr_col_num4,ropr_col_num8_x,ropr_col_num8_y,ropr_col_num16,ropr_col_num32,ropr_col_num64,Ideal
GemsFDTD,1.0,1.4272415118390034,1.3372164414525165,1.3621502123037554,1.3763144912079297,1.3837783969115756,1.4194732145611735,1.4242714839950144,1.4245642263842382,1.426001106159195,1.4245642263842382,1.42146245027139,1.4261121993109416,1.422866918886979,1.4234355297101835,1.425049642382695,1.4226467262784324,1.4282711119778557,1.42827111198
omnetpp,1.0,1.3628046143994765,1.1378133536996493,1.1423169305601724,1.164342691355507,1.2474888273364506,1.3130939178471446,1.296841281078015,1.2939335196225576,1.2939335196225576,1.2939335196225576,1.3517183076927772,1.3709092320982283,1.3802288370588145,1.3890464081583043,1.3718454209929065,1.3766719705143793,1.384136066176193,1.38904640816
soplex,1.0,1.2417319959069733,1.2301073792647974,1.227610135641772,1.2324030197445768,1.2362797902507177,1.2306242995916226,1.2307409267579787,1.2307409267579787,1.2307409267579787,1.2307409267579787,1.230652483740407,1.2356902201784692,1.2272862482161144,1.221188765418182,1.2305605418279888,1.2374231638597029,1.2378689111764234,1.24173199591
mcf,1.0,1.1933589276985748,1.124414940850633,1.1546515329170264,1.161268360141072,1.1640062481653746,1.152284600302619,1.1597378672180159,1.1618069655810848,1.158359383080288,1.1618069655810848,1.1603399910380812,1.1621913463015496,1.1595666747682238,1.1340530274245944,1.124905697051203,1.1157934508896714,1.1238563766740242,1.1933589277
lbm,1.0,0.9977462644251304,0.9988326388025482,0.9997697336442384,0.9979263005009051,0.9972201298110771,0.9952757829371631,0.9952757829371631,0.9986556537452774,0.9970278814839094,0.9986556537452774,1.0005589817418556,1.0017840403520126,0.9994679242854712,0.9997739373967903,0.9980383246451544,1.0005557433500725,0.9974360941938222,1.00178404035
libquantum,1.0,1.0010886201471076,0.997757371721112,0.9990047530226038,0.9995824936425981,1.002233621903448,1.0024141683100039,1.0024141683100039,1.0024141683100039,1.0024141683100039,1.0024141683100039,1.0024141683100039,1.0003466528169065,1.0011863670767729,1.0007492240696834,1.0007492240696834,1.0004683539565753,1.0010607405836245,1.00241416831
milc,1.0,1.0500984274197487,1.042615678131957,1.0429047104529443,1.0426310501324594,1.043207073282858,1.0229943982928575,1.0238865228483227,1.025145787978685,1.0245365991733817,1.025145787978685,1.0240343384890476,1.0248324638311315,1.0244486392289247,1.0242203674992656,1.025539378704761,1.0239862837122398,1.0224088355590255,1.05009842742
leslie3d,1.0,1.0570100976480108,1.0582096510192065,1.0463970946977401,1.0573896708146424,1.0463970946977401,1.05956765873946,1.0583315696716238,1.05437889847065,1.05437889847065,1.05437889847065,1.0507134102348918,1.0621090021244919,1.0559103354210757,1.0575548260952912,1.053493627256698,1.0434728284110641,1.0357534624692308,1.06210900212
sphinx3,1.0,1.038708250365295,1.0392994035639447,1.0417806326189338,1.0403720210211806,1.0413581621472154,1.03520878750555,1.03520878750555,1.03520878750555,1.03520878750555,1.03520878750555,1.037674151109886,1.0387285478582804,1.0401100696847483,1.0388294719122755,1.0417719122038047,1.0369255385556897,1.0379276260146222,1.04178063262
astar,1.0,1.04482920004137,0.9098228481436424,0.9266171392070603,0.9517241574424409,1.001919253601657,1.0249339599384504,1.0294880877512218,1.0211230241594473,1.028074104112148,1.0211230241594473,1.031531382623411,1.0204820651917321,1.027310672478152,1.0269695222873467,1.0133594421345922,1.0012083614140357,0.9980971060685478,1.04482920004
h264ref,1.0,1.045154372343505,1.0620080275286718,1.061232084143897,1.061232084143897,1.061232084143897,1.0645340716574099,1.0645340716574099,1.0645340716574099,1.0645340716574099,1.0645340716574099,1.07763088232545,1.0527701249208237,1.0507955174487271,1.0507955174487271,1.048635789746192,1.0645173147833964,1.0572048893311619,1.07763088233
sjeng,1.0,1.0128991798776044,0.9901083220243228,0.9914941031423371,0.9953499436293073,1.0048234681450072,1.0135707202142972,1.01256288940647,1.0120935477867425,1.0124550896333546,1.0120935477867425,1.0127745080649155,1.0119926239001293,1.0123974835605674,1.0129412398055737,1.0130730122132319,1.0127192699122702,1.0119988155514867,1.01357072021
cactusADM,1.0,1.163030223150898,1.170929942973825,1.1559765340849986,1.1574599669144763,1.1596319363312868,1.1553407089959375,1.1575424006705677,1.1582128746193159,1.1582128746193159,1.1582128746193159,1.1564339084903388,1.1510056391371604,1.152088178874669,1.1530404781735752,1.1585286484247375,1.160812543112194,1.1606382512713218,1.17092994297
zeusmp,1.0,1.1799096391942387,1.1443965557684994,1.1577283994399452,1.1700665372015173,1.1728540919285417,1.1762690052822307,1.1766411017736045,1.1768869422242467,1.1780401205827284,1.1768869422242467,1.173616441918386,1.1799947107095121,1.1801347645384288,1.181356538651648,1.1793528494154053,1.1768477916552533,1.1823078839663002,1.18230788397
bwaves,1.0,1.2879448164682115,1.280143756467818,1.2814370798804033,1.2806540090715828,1.2870958703299376,1.2566599080789835,1.2572556733754492,1.2573965800816675,1.2574820478183097,1.2573965800816675,1.2579732772476948,1.247843479306957,1.2637816681020901,1.268384859247732,1.2642797899986793,1.2672333860559901,1.2850897328523545,1.28794481647
gcc,1.0,1.2431566979317576,1.216671354192024,1.2161486848895566,1.232746356249841,1.2440842243042118,1.1912178282913597,1.1920150492497605,1.1920150492497605,1.1920150492497605,1.1920150492497605,1.1880504692718687,1.1856411242677607,1.1942362162434068,1.2047989433753934,1.213488599754917,1.2256628574120376,1.2431069602588296,1.2440842243
bzip2,1.0,1.023066591841006,1.0244142011563557,1.0244142011563557,1.0244142011563557,1.0244142011563557,1.0235767654118555,1.0235767654118555,1.0235767654118555,1.0235767654118555,1.0235767654118555,1.0267502178021368,1.0296206491208202,1.0271236554355307,1.0271236554355307,1.0274099841663942,1.026625498297103,1.0237614593874118,1.02962064912
xalancbmk,1.0,1.1398867429866162,1.1166990201015377,1.1245934422946156,1.1288095129900837,1.1400418388238014,1.0809218104089109,1.087749770147618,1.089288006805813,1.089288006805813,1.089288006805813,1.083484460106064,1.0917675202158452,1.0925836419086723,1.0566328016777111,1.047097435965694,1.038060485258773,1.037883807453498,1.14004183882
mix1,1.0,1.0506695982727297,1.0311270708906635,1.0527593108848556,1.0527593108848556,1.0476857029571913,1.0266800976314858,1.0258697120464209,1.0258697120464209,1.0258697120464209,1.0258697120464209,1.0568554973893205,1.043010367773634,1.0382720010267168,1.0379960329315838,1.0144932614396243,1.054767107413124,1.0657188383262448,1.06571883833
mix2,1.0,1.0185995137512756,0.9686336588710993,0.9865871661951738,1.0051269348179814,1.0050448799010625,1.0031104101331556,1.0009873334713792,1.0057666985296434,1.002004437935879,1.0057666985296434,1.0054250443968717,1.009029536448581,1.0137419270616757,1.004224522471933,1.0110170791378854,1.0133891328072968,1.012093695071385,1.01859951375
bfs.road,1.0,1.1689285881280378,1.1061068139453416,1.1318235022158016,1.1632353183011397,1.1694021797917433,1.1495188285844113,1.1457425063212143,1.145157500561285,1.1451531529575365,1.145157500561285,1.1442085011906327,1.1506910557281549,1.1474954025900697,1.1360746017978145,1.137952296077899,1.1267504521530107,1.122680329132121,1.16940217979
bfs.web,1.0,1.1082054941626043,1.0947031927390745,1.1003430765356905,1.101286385647718,1.1017148021638492,1.0809741695160326,1.079237845651039,1.0827579335449484,1.0797580335718957,1.0827579335449484,1.0815825381693247,1.0781916744398927,1.079744108640093,1.0742198215973378,1.0732492139921168,1.0620194264913436,1.0735536351276804,1.10820549416
bfs.kron,1.0,1.428784293445182,1.0015070174634013,1.0048330839136828,1.0174221002464607,1.0772429018020895,1.4257041986794987,1.4248543104215208,1.4213486711097862,1.4257397250293105,1.4213486711097862,1.4225197328744754,1.4254015333580388,1.4283552607554075,1.4219681439532734,1.4275376092667784,1.4177027280721366,1.4253506336725614,1.42878429345
bfs.urand,1.0,1.1461038308762108,0.9294244952425197,0.9325761387727913,0.944456791610615,0.9826782106753504,1.0970740651930082,1.0966601411358443,1.1026017071021639,1.1246226924168494,1.1026017071021639,1.0988204349911361,1.0980808502133041,1.0935172077432451,1.0926956604453057,1.0875428955876583,1.0906155520458314,1.086972583104996,1.14610383088
bfs.twitter,1.0,1.4446327429744252,1.0887844960998492,1.0908102355789817,1.1134082463977295,1.189554639921735,1.4129357524360677,1.417750070683848,1.4088021785185032,1.4168555289504712,1.4088021785185032,1.3957053553847136,1.423438605915897,1.4304058885626516,1.433683325078814,1.4275516850384289,1.4414496184528574,1.4414082679300468,1.44463274297
bc.road,1.0,1.4756657518572893,1.3088575249895396,1.3587209544159267,1.4357923271685307,1.4752182880012668,1.4765827398175835,1.478366598010704,1.478615466687206,1.4786075361957574,1.478615466687206,1.4762868892613916,1.4787438926381957,1.4781078669829808,1.477974343006236,1.4771013980691612,1.4773559872248472,1.4799762219872048,1.47997622199
bc.web,1.0,1.229260142344118,1.1789762319657089,1.2044709242664486,1.2156169012783722,1.2148072366796023,1.2335406288988975,1.2315173853106332,1.2307509360121591,1.2274234740062462,1.2307509360121591,1.227288581004332,1.228916998529557,1.2305716005134335,1.2295188386189417,1.2295211593513118,1.2288106998761532,1.2262527882481289,1.2335406289
bc.kron,1.0,1.5791151085544928,0.9281679102782465,0.9307113549408143,0.936601169875879,0.9828382104282289,1.579607818480989,1.5793548290511672,1.5798588193215746,1.5782852076379235,1.5798588193215746,1.5785730698411122,1.578688879501235,1.5800091507539997,1.5790056496888778,1.5799398596962633,1.579441313559432,1.5788442233233753,1.58000915075
bc.urand,1.0,1.5549665566998665,0.9235856447872138,0.9268600311504123,0.9334742228858556,0.9712709837709658,1.5545727752053202,1.5542800727496846,1.5543208401920947,1.5547326346508035,1.5543208401920947,1.554810288958303,1.554467499756132,1.5546695768576402,1.5542933043010807,1.5540515506801478,1.5547363708973534,1.5542430997580112,1.5549665567
bc.twitter,1.0,1.533304606540143,0.9376082226816633,0.9518247757136113,0.9756252750504494,1.0424126462510455,1.5311940768179695,1.5320560763932263,1.531444574984288,1.528467332289471,1.531444574984288,1.5312470175311346,1.5297600714982162,1.530465144286776,1.5327640926344654,1.5311343155320676,1.533616701892715,1.5318732081273458,1.53361670189
pr.road,1.0,1.0801332584114056,1.0781692492606272,1.0781692492606272,1.0781692492606272,1.0781692492606272,1.079262020649302,1.079262020649302,1.079559477388735,1.0794878345680512,1.079559477388735,1.0766800155574872,1.0709253195289428,1.0701814652437325,1.0706369391619324,1.0601548209662481,1.0420425796574704,1.0422816313500698,1.08013325841
