,Metadata Cache (128KB),Metadata Cache (256KB),Metadata Cache (512KB),Metadata Cache (1MB)
SPEC,,,,
GAP,0.21288289144920708,0.195339064064601,0.15620894937430785,
RAND,0.5313201127653224,0.5277066810366202,0.5203596043103633,0.5050574935646703
STREAM,0.02875969598330249,0.02721134361444536,0.024100257383000232,0.01781935357391839
AVERAGE,,,,0.040416055135395215
