,numPCHs1,metadata_predictor0,metacache_rownum1024,metacache_rownum2048,metacache_rownum4096,metacache_rownum8192,ropr_entry_num8192,ropr_entry_num16384,ropr_entry_num32768,ropr_entry_num65536,ropr_col_num1,ropr_col_num2,ropr_col_num4,ropr_col_num8_x,global_entry_num0,global_entry_num2,global_entry_num8,global_entry_num16,global_entry_num64,ropr_col_num8_y,ropr_col_num16,ropr_col_num32,ropr_col_num64
GemsFDTD,0.23293948150974497,0.33246089775696197,0.31149050453825544,0.3172985641924258,0.3205979839763236,0.3223366223009685,0.33065135461685075,0.3317690610109137,0.3318372522712754,0.3321719583010457,0.3318372522712754,0.3311147261517892,0.33219783628221283,0.33144188234290123,0.31016721925877516,0.3309257432068089,0.3317722657505868,0.33219783628221283,0.3312007937982161,0.33157433425323934,0.3319503248222725,0.3313905907908341,0.3327007322794686
astar,0.1596488552803498,0.1668057857500883,0.14525217621404005,0.14793336555755973,0.1519416722783411,0.15995526192084705,0.16362953344212952,0.1643565947342389,0.16302112190746476,0.16413085386487558,0.16302112190746476,0.1646828044215841,0.16291879354198732,0.1640089728784233,0.16291879354198732,0.16291879354198732,0.16291879354198732,0.16291879354198732,0.16291879354198732,0.1639545086409826,0.16178167492432152,0.15984176879686554,0.15934506044247354
bc.kron,0.1525670601323089,0.24092094972267078,0.14160784938030072,0.1419958952550779,0.1428944870044441,0.14994873635073447,0.2409961210276543,0.24095752317410185,0.2410344154879932,0.2407943341796287,0.2410344154879932,0.24083825246969243,0.24085592120907226,0.24105735111268378,0.17338522132288434,0.24100121583667383,0.24099378336533325,0.24085592120907226,0.24103654449296347,0.24090424990533849,0.24104677957971146,0.2409707178612748,0.2408796215593259
bc.road,0.10529377948710505,0.15537842427273452,0.13781455561628667,0.1430648645587795,0.15118000068616066,0.15533130911215,0.15547497740081806,0.15566280657204074,0.1556890108955856,0.15568817586416778,0.1556890108955856,0.15544382617759325,0.15570253334934953,0.1556355638042612,0.1553672040322115,0.15520983943464506,0.1555810039922389,0.15570253334934953,0.1556209846002438,0.15562150456009757,0.15552958888838883,0.15555639554280745,0.15583228996407958
bc.twitter,0.15332562702377178,0.2350948902162051,0.14375936864531028,0.1459391305530504,0.14958835703734996,0.15982857260395075,0.23477129192320056,0.234903458548571,0.23480969971161963,0.23435321210863488,0.23480969971161963,0.23477940909124168,0.23455142215839395,0.23465952788579728,0.19136002978419356,0.2347988362965819,0.23484292278066565,0.23455142215839395,0.23486047485826425,0.23501201558270202,0.2347621289865679,0.23514274243182942,0.23487542015704216
bc.urand,0.16683133698173003,0.25941714961611584,0.15408302793698408,0.15462929819175122,0.15573275264202874,0.16203843679407043,0.25935145452290204,0.2593026225808905,0.2593094238678131,0.25937812408792116,0.2593094238678131,0.2593910792598637,0.2593338912789626,0.2593676040719806,0.18320864935874953,0.25925594875283514,0.2593338452099348,0.2593338912789626,0.2591334049787099,0.25930483001830024,0.2592644979384998,0.25937874741092837,0.2592964543272574
bc.web,0.9220184841563409,1.1334005730779315,1.0870378782533774,1.110544455802538,1.120821252631513,1.1200747269054803,1.137347260802621,1.1354817928162904,1.1347751123959287,1.131707130921149,1.1347751123959287,1.1315827570800008,1.1330841881381823,1.1346097617512383,1.1221436849442459,1.133850578959696,1.1323195378333633,1.1330841881381823,1.138458185964902,1.1336390958251015,1.1336412355832435,1.1329861788149032,1.1306277370130262
bfs.kron,0.10788619943380104,0.15414610723050942,0.10804878582040776,0.10840762248879292,0.10976580361554639,0.11621964254246676,0.1538138075123439,0.15372211629824725,0.1533439061963185,0.15381764031520484,0.1533439061963185,0.15347024759941302,0.15378115410111118,0.15409982052417678,0.12323442941826371,0.15373261651432094,0.15370761150055043,0.15378115410111118,0.15473498121595855,0.15341073876705477,0.1540116072126072,0.15295055925863432,0.15377566272749266
bfs.road,0.12694953932017983,0.14839494576104262,0.14041975046927296,0.14368447219804856,0.14767218777929242,0.14845506800457592,0.14593088572866378,0.14545148335702637,0.14537721714530372,0.1453766652190107,0.14537721714530372,0.14525674211238424,0.14607969942454063,0.14567401273083364,0.14552709404482023,0.1458033909363407,0.1457533010307823,0.14607969942454063,0.14570508752487488,0.14422414733158928,0.14446251975543015,0.14304045082962905,0.14252375058715064
bfs.twitter,0.12524401047901357,0.18093159839941503,0.136363736838917,0.13661744857546926,0.13944771407925735,0.14898459378771697,0.1769617401842758,0.17756470470935007,0.17644403480922854,0.17745266871512114,0.17644403480922854,0.17480373615541844,0.17827715967556307,0.17914977009638344,0.17541036173160757,0.17875258521931855,0.17815426588282982,0.17827715967556307,0.1780400450072771,0.17956024938975798,0.17879229820028647,0.18053293111847976,0.18052775221316758
bfs.urand,0.11382878459983418,0.130459606093853,0.10579526067077039,0.10615400842331314,0.10750636869609517,0.11185706637391495,0.12487860745691937,0.12483149098457579,0.12550781221714166,0.12801443421120312,0.12550781221714166,0.12507739460850215,0.12499320857213299,0.12447373469641798,0.12499320857213299,0.12499320857213299,0.12499320857213299,0.12499320857213299,0.12499320857213299,0.12438021896600227,0.12379368600492752,0.12414344275505419,0.12372876802818394
