,MCache (128KB),MCache (256KB),MCache (512KB),MCache (1MB)
SPEC,0.07144274473944306,0.0664665963216958,0.04944284578001627,0.02686472815472886
GAP,0.337417732380254,0.3119743030260022,0.25285229632341233,0.1669532127053896
RAND,0.6631630092132728,0.6595900258820875,0.6522064672196933,0.6366053373497619
STREAM,0.030302751148627072,0.0303028451796019,0.0303028451796019,0.0303028451796019
AVERAGE,0.16308471386043222,0.1515878550420764,0.1207982265109894,0.07646498219992373
