,numPCHs1,numPCHs2,metadata_predictor0,metadata_predictor2,metacache_rownum1024,metacache_rownum2048,metacache_rownum4096,metacache_rownum8192,ropr_entry_num8192,ropr_entry_num16384,ropr_entry_num32768,ropr_entry_num65536,ropr_col_num1,ropr_col_num2,ropr_col_num4,ropr_col_num8,ropr_col_num16,global_entry_num0,global_entry_num2,global_entry_num8,global_entry_num16,global_entry_num64
GemsFDTD,0.23293954960707144,0.3308624924943223,0.3325040610009423,0.3308242464596967,0.2969894392886756,0.30439480207947855,0.30961902592566426,0.311685741454826,0.33093066364727736,0.3318557263534937,0.3318508273718102,0.3322058256537119,0.3318508273718102,0.33136125120576976,0.33219783628221283,0.3315543546818922,0.3333203755037356,0.31016721925877516,0.3309257432068089,0.3317722657505868,0.33219783628221283,0.3312007937982161
astar,0.1596562366211566,0.22788772502766286,0.1668057857500883,0.16421514448125457,0.120967437736522,0.1265406359599435,0.13246299871152512,0.14616601592508854,0.16362953344212952,0.1643577772407716,0.1630904554472458,0.16413876432623756,0.1630904554472458,0.1646828044215841,0.16313183511734594,0.16401325584000032,0.16321775193091925,0.16291879354198732,0.16291879354198732,0.16291879354198732,0.16291879354198732,0.16291879354198732
bc.kron,0.15257024072797293,0.243830808966582,0.24092094972267078,0.23919552440871567,0.09870503953000127,0.09900728229649577,0.09987762962854621,0.10523962470836304,0.2409961210276543,0.24096320743388072,0.2410344154879932,0.24079691411241702,0.2410344154879932,0.24085091114363325,0.24085592120907226,0.24105735111268378,0.24099030018741058,0.17338522132288434,0.24100121583667383,0.24099378336533325,0.24085592120907226,0.24103654449296347
bc.road,0.10529651621900955,0.164357813033639,0.15551287045199072,0.15519462249143198,0.12323254090206798,0.13020620095248375,0.14443429948356237,0.1551250231520219,0.1555217936231413,0.1556866666494114,0.1557016928394076,0.1557016928394076,0.1557016928394076,0.15549580440948424,0.15570253334934953,0.15565843858858366,0.15579828053461386,0.1553672040322115,0.15520983943464506,0.1555810039922389,0.15570253334934953,0.1556209846002438
bc.twitter,0.15339258612828813,0.2379220005720906,0.2351059336024943,0.2277771519410714,0.10819564154025722,0.11039421652736311,0.11356337206945885,0.12303710622503981,0.23479033934111568,0.234903458548571,0.2348125202068648,0.23439821540356146,0.2348125202068648,0.2347867553462033,0.23466118205288236,0.23469144740490092,0.23490975912826642,0.19136002978419356,0.2347988362965819,0.23484292278066565,0.23455142215839395,0.23486047485826425
bc.urand,0.16683923335186682,0.26711049140468024,0.25941714961611584,0.24842855523670798,0.10649330947396882,0.1070498147390286,0.1081119068098802,0.11302942880606975,0.2593554231110692,0.2593090654717674,0.2593094238678131,0.25938104360668585,0.2593094238678131,0.2593910792598637,0.2593369379239967,0.2593676040719806,0.25918661424302913,0.18320864935874953,0.25925594875283514,0.2593338452099348,0.2593338912789626,0.2591334049787099
bc.web,0.9220184841563409,1.1474640009991657,1.133526323368887,1.1291659030447005,1.0364690604372209,1.0676457747125738,1.0870232023417654,1.0859920014842905,1.137347260802621,1.1354817928162904,1.1347751123959287,1.131841838187205,1.1347751123959287,1.1317242357432284,1.1331023938459397,1.1346908506126563,1.1311556927220086,1.1221436849442459,1.133850578959696,1.1323195378333633,1.1330841881381823,1.138458185964902
bfs.kron,0.10789967387544766,0.1613506384420889,0.15414610723050942,0.15193503538055333,0.08306652821337104,0.08328504771645241,0.08491320240804977,0.09087788232897967,0.15382201136314577,0.15372263912459544,0.15334435273519306,0.15381764031520484,0.15334435273519306,0.15347246939709466,0.15378115410111118,0.15410025592215412,0.15444046081663618,0.12323442941826371,0.15373261651432094,0.15370761150055043,0.15378115410111118,0.15473498121595855
bfs.road,0.12701109793189627,0.18607529029194347,0.1484417981322649,0.1456862373236775,0.13126322614829833,0.13728264391633518,0.14655279902059173,0.14834507458638296,0.14614086237572363,0.14549676956941698,0.14553263604436661,0.1455219015631518,0.14553263604436661,0.14539839407517363,0.14610083167452823,0.14573726971632284,0.14580894443316997,0.14552709404482023,0.1458033909363407,0.1457533010307823,0.14607969942454063,0.14570508752487488
bfs.twitter,0.12528246034736995,0.18981588680882333,0.18094270779830365,0.17067760241303653,0.09779673706614497,0.09856560486420353,0.10135229461250404,0.11443818112453871,0.1769838250349728,0.17756470470935007,0.17647648706568397,0.1774514900728499,0.17647648706568397,0.17477214354866316,0.1782853952832222,0.1791509394722293,0.17729914557476212,0.17541036173160757,0.17875258521931855,0.17815426588282982,0.17827715967556307,0.1780400450072771
bfs.urand,0.11384260860342234,0.179974988102011,0.13048031385604214,0.1259203260065152,0.07653987184138601,0.07719645149944325,0.07819921887863772,0.08328335180138884,0.12487860745691937,0.12486198357234209,0.1256176528919901,0.12806054579667142,0.1256176528919901,0.1250850865502459,0.12499285650200984,0.12448757529502615,0.12426166491297111,0.12499320857213299,0.12499320857213299,0.12499320857213299,0.12499320857213299,0.12499320857213299
bfs.web,0.5314429327172309,0.638470765469145,0.5888528968912689,0.5677014234312734,0.5655930265931746,0.5673641931890396,0.569393588028058,0.5715063583425678,0.574466011222969,0.5734965623454722,0.5753082298699492,0.5741018372668213,0.5753082298699492,0.5747595014419983,0.5730302236482525,0.5737388950147468,0.5726356989346396,0.5698616326662855,0.5748144502547168,0.5730670848375389,0.5728559877912474,0.5730030774706034
bwaves,0.33380898164571843,0.46609141927817827,0.42985791717126254,0.4129835827131944,0.423787343799057,0.4233323332318627,0.42498158363556393,0.4249652860731592,0.41954651083389083,0.4195903732617008,0.41971072625973904,0.4197914842803852,0.41971072625973904,0.4198347995405966,0.41806990261717986,0.4216168890062277,0.4214198879212737,0.4088913765113318,0.4213690424719495,0.42158118699517905,0.416364059340314,0.4192304750035349
bzip2,1.7114339860634165,1.9930126570653415,1.7506713934210731,1.74967162819009,1.760295074742789,1.760295074742789,1.760295074742789,1.760295074742789,1.751806030996929,1.751806030996929,1.751806030996929,1.751806030996929,1.751806030996929,1.7572128270983585,1.7621253741278515,1.7578761972620112,1.7583420648937063,1.7621253741278515,1.7621253741278515,1.7621253741278515,1.7621253741278515,1.7621253741278515
cactusADM,0.5512790299195833,0.6995809621969394,0.6410862236737782,0.6344293268077709,0.635116573424144,0.6351927958770601,0.6369856270594959,0.634229085619655,0.6370629806482914,0.6381679393112756,0.6383429943619792,0.6383429943619792,0.6383429943619792,0.6374847991351218,0.6352662863321058,0.6353407383524714,0.6357587506358938,0.6315193259612356,0.6355746957604035,0.634722943911025,0.6339959447907582,0.6354176868760955
gcc,0.11399257274438737,0.15102867282827304,0.14166740882680465,0.13425978546438233,0.1317967427865015,0.13300247301207252,0.13672520576632458,0.1413631457445261,0.1357329598597508,0.13582379896388105,0.13582379896388105,0.13582379896388105,0.13582379896388105,0.13542876042675844,0.1352180937197216,0.13607688917394184,0.13656352678765718,0.13522182008792955,0.13490883458941857,0.1355238259840817,0.13509752398445787,0.13570523070037477
h264ref,2.0568005843699546,2.1486270198141444,2.149925529804536,2.1699355045259536,2.1778932143457346,2.1707752586280638,2.1707752586280638,2.1707752586280638,2.189344183810682,2.189344183810682,2.189344183810682,2.189344183810682,2.189344183810682,2.2162658108541464,2.165647262210929,2.161426108946683,2.1587187606951024,2.2037330731400386,2.191666975326432,2.1728231837104834,2.16513694328781,2.1875818873426174
lbm,0.1804880001880757,0.21786751727258033,0.18025206080468723,0.18044367801914474,0.17967464678464165,0.17970584692102645,0.17977099370405936,0.17977099370405936,0.17977734643958848,0.17977734643958848,0.1802537409198958,0.1800112145186533,0.1802537409198958,0.18056307214546694,0.18078414891379807,0.18037645527622656,0.18039228786999134,0.18078414891379807,0.18078414891379807,0.18078414891379807,0.18078414891379807,0.18078414891379807
leslie3d,0.17880447322195556,0.2316819598499658,0.18951406133832766,0.18914743836839257,0.18824547319263185,0.18896528738661014,0.1891965480911956,0.1893474411491656,0.18951577775941475,0.18930249463688759,0.18897952822661115,0.18897952822661115,0.18897952822661115,0.18869386905787086,0.1899407655477082,0.1888803907823468,0.1887415461965474,0.18959543984744726,0.1899363788060901,0.19017162265341447,0.18988743760378315,0.18941331784717827
libquantum,0.20853331700156003,0.23045660017050032,0.2087389862422472,0.20881257188914396,0.208293626492893,0.20764221137335503,0.2081550678154588,0.20889598967672784,0.20900804220935806,0.20900804220935806,0.20900804220935806,0.20900804220935806,0.20900804220935806,0.20900804220935806,0.20857563999964676,0.2087792734651856,0.2087792734651856,0.20857695708543605,0.20857695708543605,0.20857695708543605,0.20857695708543605,0.20857695708543605
mcf,0.13720832069098726,0.21523915007802213,0.16373310483527143,0.1587282867441738,0.1480915222282476,0.15171206216356842,0.1530715483457057,0.15511235196373782,0.15810099394260943,0.15916897382160541,0.15941399974829804,0.15899885632361144,0.15941399974829804,0.1594862460624361,0.15952674464119115,0.15913138363392615,0.15854129515404222,0.15861981322053822,0.16024936352177827,0.15947393262181214,0.15945332855008426,0.15887263747669936
milc,0.13241344626423313,0.16319508174673789,0.1390293018219083,0.13652459398850306,0.13551570241719874,0.13564452339679142,0.135792377121775,0.13561130960052556,0.13545465114919406,0.13557614794702133,0.13572167193003226,0.1356442324103238,0.13572167193003226,0.13559340447022994,0.13568965152458468,0.13562926011378865,0.1359122103510072,0.13590988733577963,0.1359250274302822,0.13580936854513986,0.13568019014504062,0.13576549045451097
mix1,,0.3694655430975654,,,0.23258114857155734,,,0.23804530327529258,,,,,,0.2410454847490564,0.24117211975098213,,0.24154260897369922,0.2415299305749749,0.24090552987092398,0.24103071618076147,0.24117211975098213,0.24145171996720227
mix2,3.3516501573038346,3.6394468433858314,3.5214769243251514,,3.471687365387492,3.483915051629618,3.4076604855169914,3.435840075868846,3.4410725107272855,3.4383563817536262,3.4383563817536262,3.4383563817536262,3.4383563817536262,3.5422098940723385,3.4958058632180307,3.479924515565363,3.41458048745834,3.5016990506421144,3.4574787763961865,3.3988791889975154,3.4958058632180307,3.482532513663586
mix3,0.2646765751439288,0.37625316596110076,0.2695994307429588,,0.24583582899208872,0.2526279834395384,0.25967747478550873,0.26476815718628866,0.2654998278452654,0.2649378991856584,0.26620288516064233,0.2652071029118858,0.26620288516064233,0.2661124573148966,0.2670664819262765,0.26831374133449076,0.26826396540019365,0.2661522741663853,0.26777720371105784,0.26599067866521536,0.2670664819262765,0.2661879875520808
omnetpp,0.20059095982318934,0.3059830491908187,0.2732490146442426,0.2540480721626191,0.14802020814215336,0.1488557013068464,0.15416899879074694,0.19266690084814686,0.26172122600036807,0.25845650360160816,0.25792646124025964,0.25792646124025964,0.25792646124025964,0.26948724558030845,0.2737981614302871,0.2750753886395408,0.2752214646233075,0.2749863674820855,0.27334969233747247,0.27240594910839055,0.27321801985570704,0.27403109599101305
pr.kron,0.08966941764997455,0.15909881556078662,0.09818338369087899,0.08996585194946627,0.053210965636514035,0.05347152342739033,0.05409041680455993,0.05563525590321666,0.08966935119442793,0.08987706302995968,0.09029155173204864,0.09166361840067538,0.09029155173204864,0.09032635878113135,0.09020667152639172,0.09023500099826981,0.09017238815413957,0.0901785522438896,0.0901785522438896,0.0901785522438896,0.0901785522438896,0.0901785522438896
pr.road,0.22565334170784032,0.28726494475874287,0.24355559387929887,0.2444305840624931,0.24061228637387033,0.24061228637387033,0.24061228637387033,0.24061228637387033,0.2434419599476166,0.2434419599476166,0.2434419599476166,0.2434419599476166,0.2434419599476166,0.24282623522278973,0.24172517643698901,0.2415609670658036,0.23938823264687809,0.2414734959994748,0.24220276253007442,0.24089392391557404,0.24146050564459387,0.24241142341434024
pr.twitter,0.09544860099160073,0.16226079984457362,0.10360833419679656,0.10167565759172566,0.0612053368410879,0.06412333523337722,0.07023903343633416,0.0830258765084645,0.09823794078328234,0.10250496823642673,0.10324985415532195,0.10302419217531972,0.10324985415532195,0.1030949878779341,0.10315860619351613,0.1029622128241346,0.1027799114944504,0.10316978464618744,0.10317979209863112,0.10308165727489343,0.10315860619351613,0.10309052534439458
pr.urand,0.08746151980111863,0.15660664532971597,0.0875238631788968,0.08748941087772898,0.051051605525911446,0.051354099107942065,0.05201735231562796,0.05332383406911568,0.08749501475279692,0.08747394859063756,0.08750484984145235,0.08748956094243986,0.08750484984145235,0.08747275815664653,0.0874680781094206,0.08746249604343173,0.08738847953593236,0.08746639380976995,,0.08746639380976995,,
pr.web,0.3387192585852732,0.3958116783527195,0.36414192371757614,0.3610055579495138,0.3579098938363378,0.3603893505992027,0.36047601275636654,0.3611946725454519,0.3612839290205335,0.3615829282699073,0.36104395969258296,0.3611813992186187,0.36104395969258296,0.36108254301256326,0.3607432168113684,0.3596435622285564,0.359674877074187,0.35819335830890253,0.3613212437533541,0.3599141530602636,0.36069364778990287,0.3603978703109561
rand,5.126594588797386,9.581767353155582,6.867866540183458,5.773930582168965,2.9250674787473008,2.9523527756884143,3.0093798608537985,3.128496926322161,6.15456481764563,6.092893967437869,6.107813723041981,6.080677825318544,,,,,,5.654913005383817,6.24338396405559,6.158889810840478,6.186377744679282,6.0317427095004446
