,Metadata Cache (128KB),Metadata Cache (256KB),Metadata Cache (512KB),Metadata Cache (1MB)
SPEC-RATE,0.8408099524806235,0.8556916496994057,0.8792704480259257,0.9293506869309938
SPEC-MIX,0.9341153369886812,0.9550525146511537,0.9747237579364165,0.9747237579364165
GAP,0.46189671936131144,0.48425847785320986,0.5237564525976471,0.5910000908921716
RAND,0.015631910721194426,0.03126231523707003,0.062493131422401295,0.12413272428372006
STREAM,0.9843749390634323,0.9843749359384674,0.9843749359384674,0.9843749406259144
AVERAGE,0.6788609116074596,0.690224149155222,0.7267034333658122,0.77974893506199
