,Metadata Cache (128KB),Metadata Cache (256KB),Metadata Cache (512KB),Metadata Cache (1MB)
SPEC-RATE,0.7746362395833669,0.8060916589464713,0.848871689507416,0.9215905071889353
SPEC-MIX,0.9341150439143414,0.9772678827482021,0.9747237477998433,0.9747237477998433
GAP,0.3024503162470739,0.32758698905993094,0.37226733034226417,0.4694966093039891
RAND,0.015631910721194426,0.03126231523707003,0.062493131422401295,0.12413272428372006
STREAM,0.9843749390634323,0.9843749359384674,0.9843749359384674,0.9843749406259144
AVERAGE,0.5005598703770964,0.5369647893755237,0.5884888477465471,0.6809642403989814
