,MCache (128KB),MCache (256KB),MCache (512KB),MCache (1MB)
SPEC-RATE,0.7745767148711531,0.8064261725291643,0.8488062798043615,0.9215866086885849
SPEC-MIX,0.9343651961033312,0.9779351104944741,0.9868714771269343,0.9918058345125689
GAP,0.30248815436757576,0.3275356419199587,0.37219034792421585,0.4691414555693145
RAND,0.01558131018763051,0.03116999867502981,0.06234546555978192,0.12407221855562889
STREAM,0.98437493750095,0.9843749390634323,0.9843749390634323,0.9843749390634323
AVERAGE,0.5005334561853629,0.5370187924356744,0.5889290534446305,0.6807566359654526
