,metacache_rownum2048
GemsFDTD,0.9858752495380918
omnetpp,0.7341454057491413
soplex,0.8634144287003123
mcf,0.43148184181855526
lbm,0.006272419205623468
libquantum,2.1691145004434664e-05
milc,0.11827475630536753
leslie3d,0.2627594312581735
sphinx3,0.19526002436963513
astar,0.13114747440384714
h264ref,0.8682166295725617
sjeng,0.24323913857017954
cactusADM,0.5743983763174775
zeusmp,0.9540698301555617
bwaves,0.7867076838889446
gcc,0.7626052679342732
bzip2,0.09621720436039753
xalancbmk,0.4658064706692157
bfs.road,0.42720149827230797
bfs.web,0.48640025464077113
bfs.kron,0.9002266240033725
bfs.urand,0.26367574207792266
bfs.twitter,0.8743727934384549
bc.road,0.832042473286373
bc.web,0.7821183358156131
bc.kron,0.9476163257069852
bc.urand,0.9142545019201992
bc.twitter,0.921326933479604
pr.road,0.4002731227800021
pr.web,0.5629478981547893
pr.kron,0.20237098986219576
pr.urand,0.004340442761717017
pr.twitter,0.19251385564136433
SPEC,0.4711062957756869
GAP,0.5807787861227781
AVERAGE,0.5212422913629285
