,Metadata Cache (128KB),Metadata Cache (256KB),Metadata Cache (512KB),Metadata Cache (1MB),Ideal
SPEC-RATE,1.0419669703234635,1.0496610893936846,1.0614374259760777,1.0894671312202067,1.1326098231341255
SPEC-MIX,0.9808572356962757,0.9851033437227772,0.9987532490008573,1.0126567297069757,1.034510290868994
GAP,0.8101335622661309,0.8235040315263473,0.8465670389127891,0.8893180657181661,1.2515431359594331
RAND,0.5705673479894717,0.5758896523902794,0.5870134274767667,0.6102485523545279,1.3396547008400261
STREAM,0.9966552763047651,0.9966804356554514,0.9966804356554514,0.9966804356554514,1.000008918483256
AVERAGE,0.922879521729479,0.9327132111956861,0.9495194059041282,0.9824507646407472,1.1720510080416358
