,Metadata Cache (128KB),Metadata Cache (256KB),Metadata Cache (512KB),Metadata Cache (1MB),Ideal
SPEC-RATE,1.0992610667077878,1.103290756087276,1.1097951682547285,1.1198326910185439,1.1326098231341255
SPEC-MIX,0.9993920088923379,1.0191363133612077,1.028667458049872,1.026143825934099,1.034510290868994
GAP,1.0376722801279803,1.046165260513419,1.0593944097038965,1.0865711355351477,1.2515431359594331
RAND,0.7870176098591779,0.7914208360820655,0.8008111352344134,0.8204639877690834,1.3396547008400261
STREAM,0.9968511076364859,0.9970420077728024,0.9973446880519073,0.9980496752297463,1.000008918483256
AVERAGE,1.0559500552856318,1.0626215915534916,1.0719969588309541,1.088405516013663,1.175014513682426
